CollegeState,Specialization,GraduationYear,Salary,College
Delhi,electronics and communication engineering,2010,1200000,MSIT
Delhi,electronics and communication engineering,2012,250000,Ahemedabad IT
Delhi,computer engineering,2012,400000,S O A  university
Delhi,electronics and communication engineering,2012,360000,SSN college of ENGG
Delhi,computer science & engineering,2014,325000,IIEST shibpur
Delhi,computer science & engineering,2013,240000,BMS college of ENGG
Delhi,electronics and communication engineering,2011,400000,IIT Bombay
Delhi,computer engineering,2012,880000,S O A  university
Delhi,computer engineering,2013,325000,Ahemedabad IT
Delhi,computer engineering,2012,420000,Ahemedabad IT
Delhi,computer engineering,2013,360000,IIT indore
Delhi,computer application,2014,350000,DTU delhi
Delhi,computer science & engineering,2014,275000,IIT ropar
Delhi,computer engineering,2012,200000,HBUT kanpur
Delhi,information technology,2013,450000,IIT goa
Delhi,electronics and communication engineering,2013,350000,S O A  university
Delhi,computer science & engineering,2014,325000,IIT palakkad
Delhi,information technology,2012,350000,Ahemedabad IT
Delhi,electronics and electrical engineering,2014,325000,IIT jammu
Delhi,electronics and communication engineering,2010,730000,NMIMS
Delhi,electronics and communication engineering,2013,310000,University college of ENGG
Delhi,electronics and communication engineering,2011,350000,MNIT jaipur
Delhi,computer science & engineering,2013,350000,IIT delhi
Delhi,computer science & engineering,2014,325000,IIT guwahati
Delhi,computer science & engineering,2013,420000,Netaji Subhas IT
Delhi,computer engineering,2013,400000,NIT trichy
Delhi,computer engineering,2013,265000,DTU delhi
Delhi,computer engineering,2012,520000,IIT mandi
Delhi,computer application,2012,180000,HBUT kanpur
Delhi,mechanical and automation,2014,325000,S O A  university
Delhi,computer science & engineering,2013,240000,NMIMS
Delhi,electronics and communication engineering,2013,705000,IIT jodhpur
Delhi,computer science & engineering,2013,925000,BIT Mesra
Delhi,computer engineering,2013,400000,BMS college of ENGG
Delhi,computer application,2014,200000,NMIMS
Delhi,computer application,2011,270000,University college of ENGG
Delhi,computer science & engineering,2015,350000,MNIT jaipur
Delhi,computer science & engineering,2013,590000,IIT delhi
Delhi,computer science & engineering,2013,145000,IIT guwahati
Delhi,electronics and electrical engineering,2014,350000,Netaji Subhas IT
Delhi,electronics and communication engineering,2014,340000,NIT trichy
Delhi,information technology,2014,350000,DTU delhi
Delhi,instrumentation and control engineering,2013,625000,IIT mandi
Delhi,electronics and communication engineering,2013,325000,IIT goa
Delhi,electronics and communication engineering,2013,300000,S O A  university
Delhi,electronics and communication engineering,2013,350000,IIT palakkad
Delhi,electronics and communication engineering,2014,325000,Ahemedabad IT
Delhi,electronics and electrical engineering,2012,400000,IIT jammu
Delhi,computer engineering,2012,430000,NMIMS
Delhi,computer application,2011,330000,University college of ENGG
Delhi,computer engineering,2010,475000,MNIT jaipur
Delhi,electronics and communication engineering,2014,350000,IIT delhi
Delhi,electronics and electrical engineering,2011,120000,IIT guwahati
Delhi,electronics and electrical engineering,2014,300000,Netaji Subhas IT
Delhi,electronics and communication engineering,2014,325000,NIT trichy
Delhi,instrumentation and control engineering,2014,320000,DTU delhi
Delhi,information technology,2012,470000,IIT mandi
Delhi,information technology,2013,350000,IIT goa
Delhi,computer science & engineering,2012,300000,S O A  university
Delhi,computer science & engineering,2014,325000,IIT palakkad
Delhi,computer engineering,2012,380000,Ahemedabad IT
Delhi,computer science & engineering,2014,350000,IIT jammu
Delhi,electronics and communication engineering,2011,375000,NMIMS
Delhi,electronics and communication engineering,2010,445000,S O A  university
Delhi,computer science & engineering,2014,400000,SRMIST chennai
Delhi,computer application,2014,100000,SSN college of ENGG
Delhi,computer science & engineering,2015,700000,Manipal IT
Delhi,information technology,2014,300000,IIEST shibpur
Delhi,electronics and electrical engineering,2012,200000,MSIT
Delhi,electronics and communication engineering,2012,240000,Ahemedabad IT
Delhi,electronics and communication engineering,2012,140000,S O A  university
Delhi,electronics and communication engineering,2012,400000,SSN college of ENGG
Delhi,computer application,2013,250000,IIEST shibpur
Delhi,electronics and electrical engineering,2010,320000,BMS college of ENGG
Delhi,electronics and communication engineering,2013,120000,IIT Bombay
Delhi,computer application,2012,240000,S O A  university
Delhi,electronics and electrical engineering,2013,325000,Ahemedabad IT
Delhi,electronics and electrical engineering,2012,180000,Ahemedabad IT
Delhi,electronics and communication engineering,2014,180000,IIT indore
Delhi,computer application,2012,95000,DTU delhi
Delhi,computer application,2013,100000,IIT ropar
Delhi,mechanical and automation,2013,180000,HBUT kanpur
Delhi,information technology,2014,320000,IIT goa
Delhi,electronics and electrical engineering,2013,420000,S O A  university
Delhi,instrumentation and control engineering,2014,300000,IIT palakkad
Delhi,computer science & engineering,2014,300000,Ahemedabad IT
Delhi,computer application,2011,105000,IIT jammu
Delhi,information technology,2012,180000,NMIMS
Delhi,computer science & engineering,2013,310000,University college of ENGG
Delhi,computer science & engineering,2013,515000,MNIT jaipur
Delhi,electronics and communication engineering,2014,320000,IIT delhi
Delhi,electronics and communication engineering,2013,335000,IIT guwahati
Delhi,mechanical and automation,2012,500000,Netaji Subhas IT
Delhi,electronics and communication engineering,2014,320000,NIT trichy
Delhi,information technology,2013,375000,DTU delhi
Gujarat,electronics and communication engineering,2010,290000,IIT mandi
Gujarat,information technology,2013,180000,HBUT kanpur
Gujarat,electronics and communication engineering,2013,310000,S O A  university
Gujarat,information technology,2013,250000,NMIMS
Gujarat,electronics and communication engineering,2014,300000,IIT jodhpur
Gujarat,instrumentation and control engineering,2012,300000,BIT Mesra
Gujarat,computer science & engineering,2014,200000,BMS college of ENGG
Gujarat,electronics and communication engineering,2010,150000,NMIMS
Gujarat,computer engineering,2011,400000,University college of ENGG
Gujarat,electronics and electrical engineering,2011,120000,MNIT jaipur
Gujarat,mechanical engineering,2010,1200000,IIT delhi
Gujarat,computer engineering,2014,180000,IIT guwahati
Gujarat,information technology,2013,450000,Netaji Subhas IT
Gujarat,information technology,2013,95000,NIT trichy
Gujarat,electronics and communication engineering,2012,205000,DTU delhi
Gujarat,chemical engineering,2010,120000,IIT mandi
Gujarat,information science,2013,460000,IIT goa
Kerala,electronics and communication engineering,2012,260000,S O A  university
Kerala,mechanical engineering,2011,95000,IIT palakkad
Kerala,automobile/automotive engineering,2012,400000,Ahemedabad IT
Kerala,electronics and communication engineering,2012,200000,IIT jammu
Kerala,computer engineering,2010,320000,NMIMS
Kerala,electronics and communication engineering,2013,320000,IIT palakkad
Kerala,electronics and communication engineering,2012,355000,Ahemedabad IT
Kerala,electronics and communication engineering,2014,120000,IIT jammu
Kerala,electronics and communication engineering,2013,335000,NMIMS
Kerala,electronics and communication engineering,2011,85000,University college of ENGG
Kerala,electronics and communication engineering,2013,65000,MNIT jaipur
Kerala,computer engineering,2012,180000,IIT delhi
Kerala,computer engineering,2010,560000,IIT guwahati
Kerala,computer application,2010,120000,S O A  university
Kerala,computer science & engineering,2014,300000,IIT palakkad
Kerala,computer engineering,2011,450000,Ahemedabad IT
Kerala,electrical engineering,2011,100000,IIT jammu
Kerala,electronics and communication engineering,2013,370000,NMIMS
Kerala,electronics and communication engineering,2013,325000,IIT palakkad
Kerala,electronics and communication engineering,2013,120000,Ahemedabad IT
Kerala,computer science & engineering,2014,450000,IIT jammu
Kerala,computer science & engineering,2013,325000,NMIMS
Kerala,information technology,2011,90000,DTU delhi
Kerala,computer application,2010,400000,IIT mandi
Delhi,instrumentation and control engineering,2013,445000,HBUT kanpur
Delhi,computer science & engineering,2013,420000,S O A  university
Delhi,computer science & engineering,2013,200000,NMIMS
Delhi,computer science & engineering,2013,375000,IIT jodhpur
Delhi,computer science & engineering,2013,350000,BIT Mesra
Delhi,electronics and communication engineering,2014,340000,BMS college of ENGG
Delhi,electronics and communication engineering,2014,325000,NMIMS
Delhi,information technology,2012,450000,University college of ENGG
Delhi,electronics and communication engineering,2014,330000,MNIT jaipur
Delhi,information technology,2010,600000,IIT delhi
Delhi,computer science & engineering,2014,350000,IIT guwahati
Delhi,information technology,2013,410000,IIT jammu
Delhi,computer engineering,2012,150000,NMIMS
Delhi,computer application,2013,210000,IIT palakkad
Delhi,electronics and communication engineering,2013,500000,Ahemedabad IT
Delhi,electronics and communication engineering,2014,325000,IIT jammu
Delhi,information technology,2013,380000,NMIMS
Delhi,electronics and communication engineering,2014,325000,DTU delhi
Delhi,electronics and communication engineering,2013,330000,IIT mandi
Delhi,information technology,2014,325000,HBUT kanpur
Delhi,computer application,2012,100000,S O A  university
Delhi,information technology,2013,500000,IIT palakkad
Delhi,computer science & engineering,2012,550000,Ahemedabad IT
Delhi,information technology,2014,100000,IIT jammu
Delhi,information technology,2011,340000,NMIMS
Delhi,computer science & engineering,2013,350000,S O A  university
Delhi,electronics and communication engineering,2013,340000,SRMIST chennai
Delhi,electronics and communication engineering,2010,1200000,SSN college of ENGG
Delhi,electronics and communication engineering,2012,250000,Manipal IT
Delhi,computer engineering,2012,400000,IIEST shibpur
Delhi,electronics and communication engineering,2012,360000,MSIT
Delhi,computer science & engineering,2014,325000,Ahemedabad IT
Delhi,computer science & engineering,2013,240000,S O A  university
Delhi,electronics and communication engineering,2011,400000,SSN college of ENGG
Delhi,computer engineering,2012,880000,IIEST shibpur
Delhi,computer engineering,2013,325000,BMS college of ENGG
Delhi,computer engineering,2012,420000,IIT Bombay
Delhi,computer engineering,2013,360000,S O A  university
Delhi,computer application,2014,350000,Ahemedabad IT
Delhi,computer science & engineering,2014,275000,Ahemedabad IT
Delhi,computer engineering,2012,200000,IIT indore
Delhi,information technology,2013,450000,DTU delhi
Delhi,electronics and communication engineering,2013,350000,IIT ropar
Delhi,computer science & engineering,2014,325000,HBUT kanpur
Delhi,information technology,2012,350000,IIT goa
Delhi,electronics and electrical engineering,2014,325000,S O A  university
Delhi,electronics and communication engineering,2010,730000,IIT palakkad
Delhi,electronics and communication engineering,2013,310000,Ahemedabad IT
Delhi,electronics and communication engineering,2011,350000,IIT jammu
Delhi,computer science & engineering,2013,350000,NMIMS
Delhi,computer science & engineering,2014,325000,University college of ENGG
Delhi,computer science & engineering,2013,420000,MNIT jaipur
Delhi,computer engineering,2013,400000,IIT delhi
Delhi,computer engineering,2013,265000,IIT guwahati
Delhi,computer engineering,2012,520000,Netaji Subhas IT
Delhi,computer application,2012,180000,NIT trichy
Delhi,mechanical and automation,2014,325000,DTU delhi
Delhi,computer science & engineering,2013,240000,IIT mandi
Delhi,electronics and communication engineering,2013,705000,HBUT kanpur
Delhi,computer science & engineering,2013,925000,S O A  university
Delhi,computer engineering,2013,400000,NMIMS
Delhi,computer application,2014,200000,IIT jodhpur
Delhi,computer application,2011,270000,BIT Mesra
Delhi,computer science & engineering,2015,350000,BMS college of ENGG
Delhi,computer science & engineering,2013,590000,NMIMS
Delhi,computer science & engineering,2013,145000,University college of ENGG
Delhi,electronics and electrical engineering,2014,350000,MNIT jaipur
Delhi,electronics and communication engineering,2014,340000,IIT delhi
Delhi,information technology,2014,350000,IIT guwahati
Delhi,instrumentation and control engineering,2013,625000,Netaji Subhas IT
Delhi,electronics and communication engineering,2013,325000,NIT trichy
Delhi,electronics and communication engineering,2013,300000,DTU delhi
Delhi,electronics and communication engineering,2013,350000,IIT mandi
Delhi,electronics and communication engineering,2014,325000,IIT goa
Delhi,electronics and electrical engineering,2012,400000,S O A  university
Delhi,computer engineering,2012,430000,IIT palakkad
Delhi,computer application,2011,330000,Ahemedabad IT
Delhi,computer engineering,2010,475000,IIT jammu
Delhi,electronics and communication engineering,2014,350000,NMIMS
Delhi,electronics and electrical engineering,2011,120000,IIT palakkad
Delhi,electronics and electrical engineering,2014,300000,Ahemedabad IT
Delhi,electronics and communication engineering,2014,325000,IIT jammu
Delhi,instrumentation and control engineering,2014,320000,NMIMS
Delhi,information technology,2012,470000,University college of ENGG
Delhi,information technology,2013,350000,MNIT jaipur
Delhi,computer science & engineering,2012,300000,IIT delhi
Delhi,computer science & engineering,2014,325000,IIT guwahati
Delhi,computer engineering,2012,380000,S O A  university
Delhi,computer science & engineering,2014,350000,IIT palakkad
Delhi,electronics and communication engineering,2011,375000,Ahemedabad IT
Delhi,electronics and communication engineering,2010,445000,IIT jammu
Delhi,computer science & engineering,2014,400000,NMIMS
Delhi,computer application,2014,100000,IIT palakkad
Delhi,computer science & engineering,2015,700000,Ahemedabad IT
Delhi,information technology,2014,300000,IIT jammu
Delhi,electronics and electrical engineering,2012,200000,NMIMS
Delhi,electronics and communication engineering,2012,240000,DTU delhi
Delhi,electronics and communication engineering,2012,140000,IIT mandi
Delhi,electronics and communication engineering,2012,400000,HBUT kanpur
Delhi,computer application,2013,250000,S O A  university
Delhi,electronics and electrical engineering,2010,320000,NMIMS
Delhi,electronics and communication engineering,2013,120000,IIT jodhpur
Delhi,computer application,2012,240000,BIT Mesra
Delhi,electronics and electrical engineering,2013,325000,BMS college of ENGG
Delhi,electronics and electrical engineering,2012,180000,NMIMS
Delhi,electronics and communication engineering,2014,180000,University college of ENGG
Delhi,computer application,2012,95000,MNIT jaipur
Delhi,computer application,2013,100000,IIT delhi
Delhi,mechanical and automation,2013,180000,IIT guwahati
Delhi,information technology,2014,320000,IIT jammu
Delhi,electronics and electrical engineering,2013,420000,NMIMS
Delhi,instrumentation and control engineering,2014,300000,IIT palakkad
Delhi,computer science & engineering,2014,300000,Ahemedabad IT
Delhi,computer application,2011,105000,IIT jammu
Delhi,information technology,2012,180000,NMIMS
Delhi,computer science & engineering,2013,310000,DTU delhi
Delhi,computer science & engineering,2013,515000,IIT mandi
Delhi,electronics and communication engineering,2014,320000,HBUT kanpur
Delhi,electronics and communication engineering,2013,335000,BIT Mesra
Delhi,mechanical and automation,2012,500000,BMS college of ENGG
Delhi,electronics and communication engineering,2014,320000,NMIMS
Delhi,information technology,2013,375000,University college of ENGG
Gujarat,electronics and communication engineering,2010,290000,MNIT jaipur
Gujarat,information technology,2013,180000,IIT delhi
Gujarat,electronics and communication engineering,2013,310000,IIT guwahati
Gujarat,information technology,2013,250000,Netaji Subhas IT
Gujarat,electronics and communication engineering,2014,300000,NIT trichy
Gujarat,instrumentation and control engineering,2012,300000,IIT jammu
Gujarat,computer science & engineering,2014,200000,NMIMS
Gujarat,electronics and communication engineering,2010,150000,IIT palakkad
Gujarat,computer engineering,2011,400000,Ahemedabad IT
Gujarat,electronics and electrical engineering,2011,120000,IIT jammu
Gujarat,mechanical engineering,2010,1200000,NMIMS
Gujarat,computer engineering,2014,180000,DTU delhi
Gujarat,information technology,2013,450000,IIT mandi
Gujarat,information technology,2013,95000,HBUT kanpur
Gujarat,electronics and communication engineering,2012,205000,BIT Mesra
Gujarat,chemical engineering,2010,120000,BMS college of ENGG
Gujarat,information science,2013,460000,NMIMS
Kerala,electronics and communication engineering,2012,260000,University college of ENGG
Kerala,mechanical engineering,2011,95000,MNIT jaipur
Kerala,automobile/automotive engineering,2012,400000,IIT delhi
Kerala,electronics and communication engineering,2012,200000,IIT guwahati
Kerala,computer engineering,2010,320000,Netaji Subhas IT
Kerala,electronics and communication engineering,2013,320000,NIT trichy
Kerala,electronics and communication engineering,2012,355000,University college of ENGG
Kerala,electronics and communication engineering,2014,120000,MNIT jaipur
Kerala,electronics and communication engineering,2013,335000,IIT delhi
Kerala,electronics and communication engineering,2011,85000,IIT guwahati
Kerala,electronics and communication engineering,2013,65000,Netaji Subhas IT
Kerala,computer engineering,2012,180000,NIT trichy
Kerala,computer engineering,2010,560000,IIT Bombay
Kerala,computer application,2010,120000,IIT indore
Kerala,computer science & engineering,2014,300000,IIT ropar
Kerala,computer engineering,2011,450000,IIT tirupati
Kerala,electrical engineering,2011,100000,Manipal IT
Kerala,electronics and communication engineering,2013,370000,IIT palakkad
Kerala,electronics and communication engineering,2013,325000,SSN college of ENGG
Kerala,electronics and communication engineering,2013,120000,MNIT jaipur
Kerala,computer science & engineering,2014,450000,IIT kharagpur
Kerala,computer science & engineering,2013,325000,NIT trichy
Kerala,information technology,2011,90000,S O A  university
Kerala,computer application,2010,400000,IIT kanpur
Delhi,instrumentation and control engineering,2013,445000,NMIMS
Delhi,computer science & engineering,2013,420000,BIT Mesra
Delhi,computer science & engineering,2013,200000,IIT kharagpur
Delhi,computer science & engineering,2013,375000,IIT guwahati
Delhi,computer science & engineering,2013,350000,IIT jammu
Delhi,electronics and communication engineering,2014,340000,IIT ropar
Delhi,electronics and communication engineering,2014,325000,IIT tirupati
Delhi,information technology,2012,450000,Manipal IT
Delhi,electronics and communication engineering,2014,330000,IIT palakkad
Delhi,information technology,2010,600000,IIT bhilai
Delhi,computer science & engineering,2014,350000,IIT kanpur
Delhi,information technology,2013,410000,SSN college of ENGG
Delhi,computer engineering,2012,150000,BIT Mesra
Delhi,computer application,2013,210000,MNIT jaipur
Delhi,electronics and communication engineering,2013,500000,SRMIST chennai
Delhi,electronics and communication engineering,2014,325000,KLEF hydrabad
Delhi,information technology,2013,380000,MSIT
Delhi,electronics and communication engineering,2014,325000,Ahemedabad IT
Delhi,electronics and communication engineering,2013,330000,IIT goa
Delhi,information technology,2014,325000,Manipal IT
Delhi,computer application,2012,100000,IIT mandi
Delhi,information technology,2013,500000,MNNIT allahabad
Delhi,computer science & engineering,2012,550000,Ahemedabad IT
Delhi,information technology,2014,100000,IIT jodhpur
Delhi,information technology,2011,340000,BIT Mesra
Delhi,computer science & engineering,2013,350000,IIT Bombay
Delhi,electronics and communication engineering,2013,340000,IIT hydrabad
Delhi,electronics and communication engineering,2010,1200000,IIT indore
Delhi,electronics and communication engineering,2012,250000,IIT ropar
Delhi,computer engineering,2012,400000,IIT tirupati
Delhi,electronics and communication engineering,2012,360000,Manipal IT
Delhi,computer science & engineering,2014,325000,IIT palakkad
Delhi,computer science & engineering,2013,240000,SSN college of ENGG
Delhi,electronics and communication engineering,2011,400000,MNIT jaipur
Delhi,computer engineering,2012,880000,IIT jodhpur
Delhi,computer engineering,2013,325000,BIT Mesra
Delhi,computer engineering,2012,420000,IIT Bombay
Delhi,computer engineering,2013,360000,IIT hydrabad
Delhi,computer application,2014,350000,IIT indore
Delhi,computer science & engineering,2014,275000,IIT ropar
Delhi,computer engineering,2012,200000,MNNIT allahabad
Delhi,information technology,2013,450000,Ahemedabad IT
Delhi,electronics and communication engineering,2013,350000,IIT jodhpur
Delhi,computer science & engineering,2014,325000,BIT Mesra
Delhi,information technology,2012,350000,IIT hydrabad
Delhi,electronics and electrical engineering,2014,325000,IIT indore
Delhi,electronics and communication engineering,2010,730000,IIT ropar
Delhi,electronics and communication engineering,2013,310000,MNNIT allahabad
Delhi,electronics and communication engineering,2011,350000,Ahemedabad IT
Delhi,computer science & engineering,2013,350000,IIT jodhpur
Delhi,computer science & engineering,2014,325000,IIT bhilai
Delhi,computer science & engineering,2013,420000,IIT kanpur
Delhi,computer engineering,2013,400000,SSN college of ENGG
Delhi,computer engineering,2013,265000,BIT Mesra
Delhi,computer engineering,2012,520000,MNIT jaipur
Delhi,computer application,2012,180000,SRMIST chennai
Delhi,mechanical and automation,2014,325000,KLEF hydrabad
Delhi,computer science & engineering,2013,240000,MSIT
Delhi,electronics and communication engineering,2013,705000,Ahemedabad IT
Delhi,computer science & engineering,2013,925000,IIT goa
Delhi,computer engineering,2013,400000,Manipal IT
Delhi,computer application,2014,200000,IIT mandi
Delhi,computer application,2011,270000,MNNIT allahabad
Delhi,computer science & engineering,2015,350000,Ahemedabad IT
Delhi,computer science & engineering,2013,590000,IIT jodhpur
Delhi,computer science & engineering,2013,145000,BIT Mesra
Delhi,electronics and electrical engineering,2014,350000,IIT Bombay
Delhi,electronics and communication engineering,2014,340000,IIT hydrabad
Delhi,information technology,2014,350000,IIT indore
Delhi,instrumentation and control engineering,2013,625000,IIT ropar
Delhi,electronics and communication engineering,2013,325000,IIT tirupati
Delhi,electronics and communication engineering,2013,300000,Manipal IT
Delhi,electronics and communication engineering,2013,350000,IIT palakkad
Delhi,electronics and communication engineering,2014,325000,SSN college of ENGG
Delhi,electronics and electrical engineering,2012,400000,MNIT jaipur
Delhi,computer engineering,2012,430000,IIT jodhpur
Delhi,computer application,2011,330000,BIT Mesra
Delhi,computer engineering,2010,475000,IIT Bombay
Delhi,electronics and communication engineering,2014,350000,IIT hydrabad
Delhi,electronics and electrical engineering,2011,120000,IIT indore
Delhi,electronics and electrical engineering,2014,300000,IIT ropar
Delhi,electronics and communication engineering,2014,325000,MNNIT allahabad
Delhi,instrumentation and control engineering,2014,320000,Ahemedabad IT
Delhi,information technology,2012,470000,IIT jodhpur
Delhi,information technology,2013,350000,IIT jodhpur
Delhi,computer science & engineering,2012,300000,BIT Mesra
Delhi,computer science & engineering,2014,325000,IIT hydrabad
Delhi,computer engineering,2012,380000,Ahemedabad IT
Delhi,computer science & engineering,2014,350000,IIT jodhpur
Delhi,electronics and communication engineering,2011,375000,IIT jodhpur
Delhi,electronics and communication engineering,2010,445000,IIT ropar
Delhi,computer science & engineering,2014,400000,IIT tirupati
Delhi,computer application,2014,100000,Manipal IT
Delhi,computer science & engineering,2015,700000,IIT palakkad
Delhi,information technology,2014,300000,SSN college of ENGG
Delhi,electronics and electrical engineering,2012,200000,MNIT jaipur
Delhi,electronics and communication engineering,2012,240000,IIT jodhpur
Delhi,electronics and communication engineering,2012,140000,BIT Mesra
Delhi,electronics and communication engineering,2012,400000,IIT Bombay
Delhi,computer application,2013,250000,IIT hydrabad
Delhi,electronics and electrical engineering,2010,320000,IIT jodhpur
Delhi,electronics and communication engineering,2013,120000,IIT jodhpur
Delhi,computer application,2012,240000,IIT ropar
Delhi,electronics and electrical engineering,2013,325000,IIT tirupati
Delhi,electronics and electrical engineering,2012,180000,Manipal IT
Delhi,electronics and communication engineering,2014,180000,IIT palakkad
Delhi,computer application,2012,95000,IIT jodhpur
Delhi,computer application,2013,100000,IIT bhilai
Delhi,mechanical and automation,2013,180000,IIT kanpur
Delhi,information technology,2014,320000,SSN college of ENGG
Delhi,electronics and electrical engineering,2013,420000,BIT Mesra
Delhi,instrumentation and control engineering,2014,300000,MNIT jaipur
Delhi,computer science & engineering,2014,300000,SRMIST chennai
Delhi,computer application,2011,105000,KLEF hydrabad
Delhi,information technology,2012,180000,MSIT
Delhi,computer science & engineering,2013,310000,Ahemedabad IT
Delhi,computer science & engineering,2013,515000,IIT goa
Delhi,electronics and communication engineering,2014,320000,Manipal IT
Delhi,electronics and communication engineering,2013,335000,IIT mandi
Delhi,mechanical and automation,2012,500000,MNNIT allahabad
Delhi,electronics and communication engineering,2014,320000,Ahemedabad IT
Delhi,information technology,2013,375000,IIT jodhpur
Gujarat,electronics and communication engineering,2010,290000,BIT Mesra
Gujarat,information technology,2013,180000,IIT Bombay
Gujarat,electronics and communication engineering,2013,310000,IIT hydrabad
Gujarat,information technology,2013,250000,IIT indore
Gujarat,electronics and communication engineering,2014,300000,IIT ropar
Gujarat,instrumentation and control engineering,2012,300000,IIT tirupati
Gujarat,computer science & engineering,2014,200000,Manipal IT
Gujarat,electronics and communication engineering,2010,150000,IIT palakkad
Gujarat,computer engineering,2011,400000,SSN college of ENGG
Gujarat,electronics and electrical engineering,2011,120000,MNIT jaipur
Gujarat,mechanical engineering,2010,1200000,IIT jodhpur
Gujarat,computer engineering,2014,180000,BIT Mesra
Gujarat,information technology,2013,450000,IIT Bombay
Gujarat,information technology,2013,95000,IIT hydrabad
Gujarat,electronics and communication engineering,2012,205000,IIT indore
Gujarat,chemical engineering,2010,120000,IIT ropar
Gujarat,information science,2013,460000,MNNIT allahabad
Kerala,electronics and communication engineering,2012,260000,Ahemedabad IT
Kerala,mechanical engineering,2011,95000,IIT jodhpur
Kerala,automobile/automotive engineering,2012,400000,IIT jodhpur
Kerala,electronics and communication engineering,2012,200000,BIT Mesra
Kerala,computer engineering,2010,320000,IIT hydrabad
Kerala,electronics and communication engineering,2013,320000,Ahemedabad IT
Kerala,electronics and communication engineering,2012,355000,IIT jodhpur
Kerala,electronics and communication engineering,2014,120000,IIT jodhpur
Kerala,electronics and communication engineering,2013,335000,IIT ropar
Kerala,electronics and communication engineering,2011,85000,IIT tirupati
Kerala,electronics and communication engineering,2013,65000,Manipal IT
Kerala,computer engineering,2012,180000,IIT palakkad
Kerala,computer engineering,2010,560000,SSN college of ENGG
Kerala,computer application,2010,120000,MNIT jaipur
Kerala,computer science & engineering,2014,300000,IIT jodhpur
Kerala,computer engineering,2011,450000,BIT Mesra
Kerala,electrical engineering,2011,100000,IIT Bombay
Kerala,electronics and communication engineering,2013,370000,IIT hydrabad
Kerala,electronics and communication engineering,2013,325000,IIT jodhpur
Kerala,electronics and communication engineering,2013,120000,IIT jodhpur
Kerala,computer science & engineering,2014,450000,IIT ropar
Kerala,computer science & engineering,2013,325000,IIT tirupati
Kerala,information technology,2011,90000,Manipal IT
Kerala,computer application,2010,400000,IIT palakkad
Delhi,instrumentation and control engineering,2013,445000,SSN college of ENGG
Delhi,computer science & engineering,2013,420000,MNIT jaipur
Delhi,computer science & engineering,2013,200000,IIT jodhpur
Delhi,computer science & engineering,2013,375000,BIT Mesra
Delhi,computer science & engineering,2013,350000,IIT Bombay
Delhi,electronics and communication engineering,2014,340000,IIT hydrabad
Delhi,electronics and communication engineering,2014,325000,IIT indore
Delhi,information technology,2012,450000,IIT hydrabad
Delhi,electronics and communication engineering,2014,330000,IIT jodhpur
Delhi,information technology,2010,600000,IIT jodhpur
Delhi,computer science & engineering,2014,350000,IIT ropar
Delhi,information technology,2013,410000,IIT tirupati
Delhi,computer engineering,2012,150000,Manipal IT
Delhi,computer application,2013,210000,IIT palakkad
Delhi,electronics and communication engineering,2013,500000,SSN college of ENGG
Delhi,electronics and communication engineering,2014,325000,MNIT jaipur
Delhi,information technology,2013,380000,IIT jodhpur
Delhi,electronics and communication engineering,2014,325000,BIT Mesra
Delhi,electronics and communication engineering,2013,330000,IIT Bombay
Delhi,information technology,2014,325000,IIT hydrabad
Delhi,computer application,2012,100000,IIT indore
Delhi,information technology,2013,500000,IIT jodhpur
Delhi,computer science & engineering,2012,550000,BIT Mesra
Delhi,information technology,2014,100000,IIT Bombay
Delhi,information technology,2011,340000,IIT hydrabad
Delhi,computer science & engineering,2013,350000,IIT indore
